det,components,resize,color,whiten,mirror,time,true_pos,true_neg,false_pos,false_neg,total
2.64262e+228,1.50443e+228,9.85648e+227,2.67948e+228,5.99796e+228,4.14506e+228,6.69569e+228,2.37278e+228,1.85737e+229,5.92027e+228,3,0.07,0,0,0,3.449,2144,1928,1072,856,6000
2.31564e+296,1.80041e+296,1.22171e+296,2.01186e+296,3.42032e+296,2.82274e+296,4.20859e+296,2.29199e+296,9.40301e+296,2.85679e+296,3,0.07,0,0,1,4.584,2199,1895,1105,801,6000
3.7677e+256,2.04307e+256,6.92445e+255,3.79528e+256,3.32468e+257,1.98755e+257,1.74135e+257,4.27363e+256,1.89372e+258,2.63031e+257,3,0.10,0,0,0,4.027,1964,2013,987,1036,6000
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3,0.10,0,0,1,5.642,2124,1971,1029,876,6000
3.7677e+256,2.04307e+256,6.92445e+255,3.79528e+256,3.32468e+257,1.98755e+257,1.74135e+257,4.27363e+256,1.89372e+258,2.63031e+257,3,0.15,0,0,0,3.864,1964,2013,987,1036,6000
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3,0.15,0,0,1,5.892,2124,1971,1029,876,6000
0,0,0,0,0,0,0,0,0,0,3,0.20,0,0,0,11.408,938,2348,652,2062,6000
1.36124e-149,6.79691e-150,1.84243e-152,1.45409e-153,1.53316e-149,2.36339e-148,5.45387e-149,3.9581e-149,3.35687e-147,2.22716e-148,3,0.20,0,0,1,15.608,1727,2080,920,1273,6000
1.01205e+44,3.39738e+45,4.09592e+43,3.08891e+44,5.24327e+45,1.80294e+46,7.76211e+46,5.88896e+45,1.94187e+47,2.29811e+46,3,0.07,1,0,0,4.296,2008,2160,840,992,6000
2.17662e+255,4.91796e+256,2.69275e+255,2.80808e+255,1.21786e+256,7.4683e+256,2.99685e+257,3.81232e+256,4.48859e+257,6.45354e+256,3,0.07,1,0,1,6.603,2211,2096,904,789,6000
0,0,0,0,0,0,0,0,0,0,3,0.10,1,0,0,7.853,1479,2221,779,1521,6000
7.0614e-201,1.1752e-197,1.17779e-200,3.73273e-200,4.26321e-199,2.18218e-197,1.8788e-196,5.9653e-198,2.08179e-196,2.28778e-197,3,0.10,1,0,1,11.342,2006,2124,876,994,6000
