det,,,,,,,,,,components,resize,color,whiten,mirror,time,true_pos,true_neg,false_pos,false_neg,total
2.32E+296,1.80E+296,1.22E+296,2.01E+296,3.42E+296,2.82E+296,4.21E+296,2.29E+296,9.40E+296,2.86E+296,5,0.07,0,0,1,4.211,2201,1940,1060,799,6000
3.77E+256,2.04E+256,6.92E+255,3.80E+256,3.32E+257,1.99E+257,1.74E+257,4.27E+256,1.89E+258,2.63E+257,5,0.1,0,0,0,4.115,1937,2124,876,1063,6000
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,5,0.1,0,0,1,5.805,2137,2023,977,863,6000
3.77E+256,2.04E+256,6.92E+255,3.80E+256,3.32E+257,1.99E+257,1.74E+257,4.27E+256,1.89E+258,2.63E+257,5,0.15,0,0,0,4.246,1937,2124,876,1063,6000
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,5,0.15,0,0,1,5.644,2137,2023,977,863,6000
0,0,0,0,0,0,0,0,0,0,5,0.2,0,0,0,12.079,728,2523,477,2272,6000
1.36E-149,6.80E-150,1.84E-152,1.45E-153,1.53E-149,2.36E-148,5.45E-149,3.96E-149,3.36E-147,2.23E-148,5,0.2,0,0,1,16.369,1604,2222,778,1396,6000
1.01E+44,3.40E+45,4.10E+43,3.09E+44,5.24E+45,1.80E+46,7.76E+46,5.89E+45,1.94E+47,2.30E+46,5,0.07,1,0,0,4.694,1923,2240,760,1077,6000
2.18E+255,4.92E+256,2.69E+255,2.81E+255,1.22E+256,7.47E+256,3.00E+257,3.81E+256,4.49E+257,6.45E+256,5,0.07,1,0,1,7.185,2158,2178,822,842,6000
0,0,0,0,0,0,0,0,0,0,5,0.1,1,0,0,8.041,1288,2400,600,1712,6000
7.06E-201,1.18E-197,1.18E-200,3.73E-200,4.26E-199,2.18E-197,1.88E-196,5.97E-198,2.08E-196,2.29E-197,5,0.1,1,0,1,11.631,1930,2245,755,1070,6000
2.64E+228,1.50E+228,9.86E+227,2.68E+228,6.00E+228,4.15E+228,6.70E+228,2.37E+228,1.86E+229,5.92E+228,3,0.07,0,0,0,3.449,2144,1928,1072,856,6000
2.32E+296,1.80E+296,1.22E+296,2.01E+296,3.42E+296,2.82E+296,4.21E+296,2.29E+296,9.40E+296,2.86E+296,3,0.07,0,0,1,4.584,2199,1895,1105,801,6000
3.77E+256,2.04E+256,6.92E+255,3.80E+256,3.32E+257,1.99E+257,1.74E+257,4.27E+256,1.89E+258,2.63E+257,3,0.1,0,0,0,4.027,1964,2013,987,1036,6000
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3,0.1,0,0,1,5.642,2124,1971,1029,876,6000
3.77E+256,2.04E+256,6.92E+255,3.80E+256,3.32E+257,1.99E+257,1.74E+257,4.27E+256,1.89E+258,2.63E+257,3,0.15,0,0,0,3.864,1964,2013,987,1036,6000
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3,0.15,0,0,1,5.892,2124,1971,1029,876,6000
0,0,0,0,0,0,0,0,0,0,3,0.2,0,0,0,11.408,938,2348,652,2062,6000
1.36E-149,6.80E-150,1.84E-152,1.45E-153,1.53E-149,2.36E-148,5.45E-149,3.96E-149,3.36E-147,2.23E-148,3,0.2,0,0,1,15.608,1727,2080,920,1273,6000
1.01E+44,3.40E+45,4.10E+43,3.09E+44,5.24E+45,1.80E+46,7.76E+46,5.89E+45,1.94E+47,2.30E+46,3,0.07,1,0,0,4.296,2008,2160,840,992,6000
2.18E+255,4.92E+256,2.69E+255,2.81E+255,1.22E+256,7.47E+256,3.00E+257,3.81E+256,4.49E+257,6.45E+256,3,0.07,1,0,1,6.603,2211,2096,904,789,6000
0,0,0,0,0,0,0,0,0,0,3,0.1,1,0,0,7.853,1479,2221,779,1521,6000
7.06E-201,1.18E-197,1.18E-200,3.73E-200,4.26E-199,2.18E-197,1.88E-196,5.97E-198,2.08E-196,2.29E-197,3,0.1,1,0,1,11.342,2006,2124,876,994,6000
