hidden_nodes,output_nodes,resize,color,iterations,batch_size,choices,time,true_pos,true_neg,false_pos,false_neg,total,train_true_pos,train_true_neg,train_false_pos,train_false_neg
70,10,0.12,1,20000,1,1,114.179,160,162,138,140,6000,1472,1423,1277,1228
70,10,0.12,1,10000,2,1,79.656,180,130,170,120,6000,1495,1236,1464,1205
70,10,0.12,1,5000,4,1,45.848,167,173,127,133,6000,1491,1440,1260,1209
70,10,0.12,1,2500,8,1,28.085,160,171,129,140,6000,1424,1454,1246,1276
70,10,0.12,1,1250,16,1,21.672,176,167,133,124,6000,1532,1534,1166,1168
70,10,0.12,1,500,40,1,15.755,152,201,99,148,6000,1438,1615,1085,1262
