hidden_nodes,output_nodes,resize,color,iterations,batch_size,choices,time,true_pos,true_neg,false_pos,false_neg,total,train_true_pos,train_true_neg,train_false_pos,train_false_neg
70,10,0.12,1,40000,1,1,505.662,172,171,129,128,6000,1552,1427,1273,1148
70,10,0.12,1,40000,1,2,605.920,179,163,137,121,6000,1540,1355,1345,1160
70,10,0.12,1,40000,1,3,627.159,190,156,144,110,6000,1651,1404,1296,1049
70,10,0.12,1,40000,1,1,439.282,175,171,129,125,6000,1487,1375,1325,1213
70,10,0.12,1,40000,1,2,481.812,187,150,150,113,6000,1624,1438,1262,1076
70,10,0.12,1,40000,1,3,517.826,168,154,146,132,6000,1594,1387,1313,1106
70,10,0.12,1,40000,1,1,382.760,176,171,129,124,6000,1545,1534,1166,1155
70,10,0.12,1,40000,1,2,478.387,175,175,125,125,6000,1543,1513,1187,1157
70,10,0.12,1,40000,1,3,519.840,182,152,148,118,6000,1608,1415,1285,1092
