hidden_nodes,output_nodes,resize,color,iterations,batch_size,choices,time,true_pos,true_neg,false_pos,false_neg,total,train_true_pos,train_true_neg,train_false_pos,train_false_neg
70,25,0.07,1,20000,1,1,101.085,163,159,141,137,6000,1510,1413,1287,1190
70,25,0.12,1,20000,1,1,227.798,166,164,136,134,6000,1534,1486,1214,1166
70,25,0.17,1,20000,1,1,445.709,172,189,111,128,6000,1590,1670,1030,1110
70,25,0.07,0,20000,1,1,138.705,201,181,119,99,6000,1817,1544,1156,883
70,25,0.12,0,20000,1,1,249.931,184,162,138,116,6000,1567,1395,1305,1133
70,25,0.17,0,20000,1,1,411.880,177,194,106,123,6000,1621,1633,1067,1079
70,25,0.22,0,20000,1,1,666.876,175,174,126,125,6000,1602,1568,1132,1098
70,25,0.07,1,20000,1,1,114.510,178,145,155,122,6000,1531,1299,1401,1169
70,25,0.12,1,20000,1,1,208.984,170,157,143,130,6000,1536,1462,1238,1164
70,25,0.17,1,20000,1,1,344.060,166,181,119,134,6000,1519,1530,1170,1181
70,25,0.07,0,20000,1,1,116.010,169,171,129,131,6000,1528,1458,1242,1172
70,25,0.12,0,20000,1,1,196.218,168,159,141,132,6000,1572,1491,1209,1128
70,25,0.17,0,20000,1,1,348.654,172,167,133,128,6000,1552,1469,1231,1148
70,25,0.22,0,20000,1,1,525.826,190,177,123,110,6000,1717,1607,1093,983
70,25,0.07,1,20000,1,1,118.763,179,161,139,121,6000,1602,1435,1265,1098
70,25,0.12,1,20000,1,1,217.015,173,163,137,127,6000,1505,1443,1257,1195
70,25,0.17,1,20000,1,1,325.748,174,146,154,126,6000,1587,1380,1320,1113
70,25,0.07,0,20000,1,1,99.599,179,167,133,121,6000,1524,1402,1298,1176
70,25,0.12,0,20000,1,1,151.784,184,151,149,116,6000,1629,1353,1347,1071
70,25,0.17,0,20000,1,1,252.303,186,141,159,114,6000,1706,1282,1418,994
70,25,0.22,0,20000,1,1,378.722,162,178,122,138,6000,1516,1576,1124,1184
