hidden_nodes,output_nodes,resize,color,iterations,batch_size,choices,time,true_pos,true_neg,false_pos,false_neg,total,train_true_pos,train_true_neg,train_false_pos,train_false_neg
70,25,0.07,1,20000,1,1,113.442,209,175,125,91,6000,1880,1544,1156,820
70,25,0.12,1,20000,1,1,187.918,221,161,139,79,6000,1971,1434,1266,729
70,25,0.17,1,20000,1,1,295.622,180,177,123,120,6000,1578,1509,1191,1122
70,25,0.07,0,20000,1,1,108.389,175,159,141,125,6000,1573,1427,1273,1127
70,25,0.12,0,20000,1,1,173.044,169,172,128,131,6000,1539,1459,1241,1161
70,25,0.17,0,20000,1,1,279.813,234,174,126,66,6000,1974,1538,1162,726
70,25,0.22,0,20000,1,1,449.445,211,177,123,89,6000,1950,1486,1214,750
70,25,0.07,1,20000,1,1,108.544,172,166,134,128,6000,1546,1457,1243,1154
70,25,0.12,1,20000,1,1,180.036,180,166,134,120,6000,1534,1474,1226,1166
70,25,0.17,1,20000,1,1,291.100,166,164,136,134,6000,1507,1448,1252,1193
70,25,0.07,0,20000,1,1,89.939,180,156,144,120,6000,1632,1398,1302,1068
70,25,0.12,0,20000,1,1,160.070,182,196,104,118,6000,1637,1716,984,1063
70,25,0.17,0,20000,1,1,289.457,218,169,131,82,6000,1956,1514,1186,744
70,25,0.22,0,20000,1,1,456.909,190,186,114,110,6000,1711,1707,993,989
70,25,0.07,1,20000,1,1,112.024,189,167,133,111,6000,1867,1517,1183,833
70,25,0.12,1,20000,1,1,165.035,234,168,132,66,6000,1932,1519,1181,768
70,25,0.17,1,20000,1,1,277.037,222,166,134,78,6000,1987,1542,1158,713
70,25,0.07,0,20000,1,1,92.182,172,171,129,128,6000,1529,1527,1173,1171
70,25,0.12,0,20000,1,1,152.943,177,174,126,123,6000,1544,1520,1180,1156
70,25,0.17,0,20000,1,1,296.925,213,167,133,87,6000,1980,1477,1223,720
70,25,0.22,0,20000,1,1,483.023,204,164,136,96,6000,1927,1474,1226,773
