hidden_nodes,output_nodes,resize,color,iterations,batch_size,choices,time,true_pos,true_neg,false_pos,false_neg,total
70,10,0.10,1,20001,1,1,2631.637,1721,1572,1428,1279,6000
70,25,0.10,1,20001,1,1,2460.207,1697,1537,1463,1303,6000
