hidden_nodes,output_nodes,resize,color,iterations,batch_size,choices,time,true_pos,true_neg,false_pos,false_neg,total
70,10,0.20,1,20001,1,1,4176.892,1691,1622,1378,1309,6000
70,25,0.20,1,20001,1,1,3071.349,1614,1647,1353,1386,6000
