hidden_nodes,output_nodes,resize,color,iterations,batch_size,choices,time,true_pos,true_neg,false_pos,false_neg,total
70,10,0.30,0,20001,1,1,6702.758,1688,1633,1367,1312,6000
70,25,0.30,0,20001,1,1,3372.187,1709,1620,1380,1291,6000
