hidden_nodes,output_nodes,resize,color,iterations,batch_size,choices,time,true_pos,true_neg,false_pos,false_neg,total
70,10,0.05,0,20000,1,1,92.238,158,154,146,142,600
70,10,0.10,0,20000,1,1,114.590,198,173,127,102,600
70,10,0.15,0,20000,1,1,169.085,181,165,135,119,600
70,10,0.20,0,20000,1,1,229.916,178,177,123,122,600
70,10,0.25,0,20000,1,1,308.246,178,169,131,122,600
70,10,0.30,0,20000,1,1,405.886,177,173,127,123,600
70,10,0.05,1,20000,1,1,102.650,186,189,111,114,600
70,10,0.10,1,20000,1,1,125.888,167,159,141,133,600
70,10,0.15,1,20000,1,1,178.947,180,136,164,120,600
70,10,0.20,1,20000,1,1,230.410,179,152,148,121,600
