components,resize,color,whiten,mirror,time,true_pos,true_neg,false_pos,false_neg,total
10,0.10,1,1,0,4.706,1746,1682,1318,1254,6000
10,0.10,1,0,0,4.248,1868,1540,1460,1132,6000
10,0.10,0,1,0,2.028,1769,1692,1308,1231,6000
10,0.10,0,0,0,2.228,1877,1523,1477,1123,6000
10,0.20,1,1,0,44.581,1748,1690,1310,1252,6000
10,0.20,1,0,0,46.771,1868,1532,1468,1132,6000
10,0.20,0,1,0,5.105,1767,1687,1313,1233,6000
10,0.20,0,0,0,5.062,1868,1535,1465,1132,6000
10,0.30,0,1,0,23.965,1770,1686,1314,1230,6000
10,0.30,0,0,0,24.007,1826,1575,1425,1174,6000
10,0.40,0,1,0,71.615,1772,1687,1313,1228,6000
10,0.40,0,0,0,71.081,1873,1532,1468,1127,6000
10,0.50,0,1,0,173.348,1772,1687,1313,1228,6000
10,0.50,0,0,0,174.335,1871,1535,1465,1129,6000
